"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR"
"2019","MIL","89","73","50","750","162","1459.1","9.23","3.52","1.39",".292","73.1%","42.2%","15.6%","87.9","4.40","4.46","4.42","12.1"
"2007","KCR","69","93","36","610","162","1437.1","6.22","3.26","1.05",".304","71.0%","41.1%","9.3%","","4.50","4.55","4.61","12.1"
"2016","KCR","81","81","41","634","162","1440.0","8.04","3.23","1.29",".298","75.4%","44.3%","13.4%","88.9","4.21","4.42","4.33","12.1"
"2011","STL","90","72","47","630","162","1462.0","6.76","2.76","0.84",".296","71.6%","47.7%","9.3%","","3.79","3.75","3.79","12.0"
"2011","NYM","77","85","43","676","162","1448.0","7.00","3.19","0.91",".299","71.2%","46.1%","9.4%","","4.19","4.00","4.04","11.9"
"2015","BOS","78","84","40","637","162","1448.1","7.57","2.97","1.11",".305","71.6%","44.1%","11.6%","88.1","4.34","4.17","4.14","11.8"
"2007","HOU","73","89","38","638","162","1464.2","6.81","3.13","1.27",".300","71.7%","44.0%","11.5%","","4.70","4.73","4.44","11.8"
"2011","ARI","94","68","58","625","162","1443.1","6.60","2.76","0.99",".286","73.9%","41.9%","9.5%","","3.80","4.02","4.05","11.8"
"2015","DET","74","87","35","666","161","1447.0","6.84","3.04","1.20",".298","69.7%","42.9%","12.0%","88.5","4.64","4.46","4.36","11.7"
"2009","HOU","74","88","39","659","162","1430.0","7.20","3.44","1.11",".311","72.0%","45.6%","11.5%","","4.54","4.35","4.16","11.6"
"2019","DET","47","114","31","738","161","1433.0","8.59","3.37","1.57",".317","68.8%","42.7%","15.9%","89.7","5.26","4.84","4.75","11.6"
"2011","WSN","80","81","49","664","161","1449.1","6.51","2.96","0.80",".287","73.6%","44.6%","8.2%","","3.58","3.83","4.04","11.6"
"2017","DET","64","98","32","672","162","1420.1","7.62","3.41","1.38",".320","68.7%","39.4%","12.8%","87.9","5.36","4.73","4.87","11.5"
"2013","MIN","66","96","40","673","162","1450.1","6.11","2.84","1.04",".309","70.2%","43.7%","10.2%","","4.55","4.23","4.28","11.5"
"2012","ATL","94","68","47","622","162","1445.1","7.67","2.89","0.90",".284","75.4%","47.2%","10.8%","","3.42","3.74","3.80","11.4"
"2017","SFG","64","98","32","664","162","1452.0","7.65","3.07","1.13",".308","71.1%","42.5%","11.5%","87.7","4.50","4.22","4.53","11.4"
"2010","STL","86","76","32","617","162","1453.2","6.77","2.95","0.82",".292","74.0%","49.5%","9.2%","","3.57","3.85","3.87","11.4"
"2008","HOU","86","75","48","649","161","1425.1","6.91","3.11","1.24",".293","72.8%","43.3%","12.1%","","4.39","4.53","4.24","11.4"
"2018","MIN","78","84","37","728","162","1443.1","8.59","3.57","1.23",".302","72.4%","41.6%","13.2%","88.5","4.50","4.39","4.33","11.3"
"2013","CHC","66","96","39","651","162","1448.0","7.36","3.36","0.99",".279","72.8%","42.4%","10.3%","","4.00","4.10","4.13","11.3"
