"Season","Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ"
"2010","Yankees","2121","1458","12981.0","4327","1522","69","30","38","388","162","123","162","27","132","23","12","69",".988",""
"2010","Athletics","2071","1458","12885.0","4295","1704","99","44","52","380","147","122","147","54","88","32","8","42",".984",""
"2010","Mariners","1881","1458","12942.0","4314","1657","110","67","42","349","146","105","146","36","73","29","16","73",".982",""
"2010","Rays","2200","1458","13083.0","4361","1499","85","40","43","329","137","105","136","36","89","30","9","60",".986",""
"2010","Rangers","2117","1458","13098.0","4366","1499","105","60","44","338","133","107","133","35","116","35","8","56",".982",""
"2010","Blue Jays","2032","1458","12966.0","4322","1691","92","35","57","416","173","134","173","32","69","35","10","69",".985",""
"2010","Diamondbacks","2063","1458","12888.0","4296","1572","102","58","43","359","152","119","152","26","115","36","15","82",".983",""
"2010","Braves","2193","1458","12954.0","4318","1770","126","63","61","386","168","120","168","42","102","44","6","42",".980",""
"2010","Cubs","2128","1458","12930.0","4310","1550","126","70","56","334","137","102","137","28","114","31","6","46",".979",""
"2010","Reds","2188","1458","13077.0","4359","1608","72","40","31","349","142","113","143","44","71","34","4","48",".988",""
"2010","Rockies","2208","1458","12978.0","4326","1707","101","50","50","433","183","133","183","39","81","43","15","77",".984",""
"2010","Marlins","2100","1458","12945.0","4315","1502","123","57","65","289","131","91","131","40","111","44","11","49",".979",""
"2010","Astros","2130","1458","12954.0","4318","1597","103","60","42","322","137","102","137","31","89","44","12","57",".983",""
"2010","Dodgers","2120","1458","12975.0","4325","1590","98","53","44","280","125","86","125","37","97","39","6","58",".984",""
"2010","Brewers","2066","1458","12951.0","4317","1516","101","51","50","328","143","109","143","27","100","31","5","71",".983",""
"2010","Nationals","2273","1458","12915.0","4305","1657","127","65","61","360","149","112","149","31","79","35","5","33",".979",""
"2010","Mets","2117","1458","13077.0","4359","1665","87","41","45","378","163","120","164","30","51","26","10","48",".986",""
"2010","Phillies","2046","1458","13107.0","4369","1687","83","48","34","372","159","116","158","37","84","31","6","26",".986",""
"2010","Pirates","2102","1458","12705.0","4235","1654","127","68","57","292","120","89","120","35","116","32","11","56",".979",""
"2010","Cardinals","2204","1458","13083.0","4361","1872","99","56","42","420","172","131","172","54","53","38","10","42",".984",""
"2010","Padres","2176","1458","13107.0","4369","1626","72","35","36","333","143","110","143","37","79","39","13","29",".988",""
"2010","Giants","2249","1458","13149.0","4383","1485","73","35","38","255","110","78","110","41","115","49","6","74",".988",""
"2011","Angels","1999","1458","13185.0","4395","1723","93","53","40","390","159","122","159","26","126","40","7","55",".985",""
"2011","Orioles","2077","1458","13020.0","4340","1655","110","69","40","392","160","128","159","48","83","42","4","32",".982",""
"2011","Red Sox","2075","1457","13116.0","4372","1526","92","52","38","271","124","82","123","33","156","50","32","58",".985",""
"2011","White Sox","2018","1458","13140.0","4380","1667","79","42","37","328","130","113","130","27","135","37","10","55",".987",""
"2011","Indians","2088","1458","13080.0","4360","1689","110","65","45","304","131","107","131","41","104","48","9","42",".982",""
"2011","Tigers","2164","1458","12960.0","4320","1639","103","55","42","342","150","116","150","26","119","49","8","69",".983",""
"2011","Royals","1949","1458","13062.0","4354","1700","95","34","60","331","149","105","149","46","115","49","8","69",".985",""
"2011","Twins","2037","1458","12795.0","4265","1621","119","56","62","372","153","122","153","37","96","44","12","47",".980",""
"2011","Yankees","2134","1458","13125.0","4375","1569","102","54","48","318","145","98","143","43","128","49","7","67",".983",""
"2011","Athletics","2042","1458","13029.0","4343","1529","124","53","67","334","145","102","145","50","119","47","6","53",".979",""
"2011","Mariners","1925","1458","12897.0","4299","1623","108","58","47","352","152","111","152","46","110","46","11","68",".982",""
"2011","Rays","2114","1458","13041.0","4347","1519","73","34","37","319","140","106","140","48","104","33","5","45",".988",""
"2011","Rangers","2055","1458","12972.0","4324","1552","114","69","44","394","166","118","165","26","85","46","9","43",".981",""
"2011","Blue Jays","2075","1458","13128.0","4376","1703","110","57","51","355","150","112","151","46","111","40","20","73",".982",""
"2011","Diamondbacks","2021","1458","12990.0","4330","1604","90","48","42","313","131","108","131","42","61","43","9","39",".985",""
"2011","Braves","2118","1458","13317.0","4439","1675","83","52","31","315","131","98","131","47","128","41","9","61",".987",""
"2011","Cubs","2171","1458","12909.0","4303","1558","134","62","71","297","129","96","129","60","112","46","7","51",".978",""
"2011","Reds","2172","1458","13209.0","4403","1758","91","54","37","340","147","101","147","30","81","44","5","51",".985",""
"2011","Rockies","2160","1458","13029.0","4343","1758","98","54","44","361","156","111","157","29","99","49","17","65",".984",""
"2011","Marlins","2167","1458","13137.0","4379","1553","93","50","43","287","126","88","126","36","103","24","10","43",".985",""
"2011","Astros","2142","1458","12915.0","4305","1632","116","60","54","324","143","111","143","45","131","31","8","39",".981",""
"2011","Dodgers","2147","1449","12888.0","4296","1511","85","40","45","267","121","87","122","35","116","40","8","50",".986",""
"2011","Brewers","2113","1458","12975.0","4325","1587","111","64","45","321","131","108","131","30","102","37","4","70",".982",""
"2011","Nationals","2156","1449","13044.0","4348","1691","104","61","43","327","146","106","146","43","76","40","8","49",".983",""
"2011","Mets","2148","1458","13032.0","4344","1697","116","61","53","303","126","92","126","50","121","33","26","46",".981",""
"2011","Phillies","1980","1458","13293.0","4431","1620","74","41","32","333","138","93","139","30","106","29","12","23",".988",""
"2011","Pirates","2237","1458","13044.0","4348","1771","112","56","53","363","156","124","155","38","123","40","13","60",".982",""
"2011","Cardinals","2304","1458","13158.0","4386","1815","116","67","48","411","170","135","169","38","64","25","10","48",".982",""
"2011","Padres","2161","1457","13044.0","4348","1694","94","52","41","339","141","110","140","28","141","60","10","45",".985",""
"2011","Giants","2241","1458","13212.0","4404","1657","104","63","40","282","127","86","128","41","124","59","14","42",".983",""
"2012","Angels","2108","1458","12900.0","4300","1577","98","50","47","314","143","102","141","34","127","41","11","38",".984",""
"2012","Orioles","2102","1458","13347.0","4449","1680","106","59","44","371","151","116","152","69","63","36","10","34",".983",""
"2012","Red Sox","2146","1458","12987.0","4329","1687","101","50","49","392","159","121","159","44","127","31","11","42",".983",""
"2012","White Sox","2084","1458","13011.0","4337","1578","70","35","33","375","154","121","154","37","104","41","9","66",".988",""
"2012","Indians","2151","1458","12978.0","4326","1665","96","41","54","390","158","129","158","44","140","37","13","67",".984",""
"2012","Tigers","2104","1458","12876.0","4292","1481","99","44","52","316","129","102","128","42","131","45","14","46",".983",""
"2012","Royals","2040","1458","13062.0","4354","1624","113","60","50","383","173","116","173","51","113","51","11","49",".981",""
"2012","Twins","2085","1458","12948.0","4316","1785","107","58","45","458","189","147","190","42","111","24","8","60",".983",""
"2012","Yankees","2178","1458","13008.0","4336","1472","75","44","30","310","135","85","135","48","90","28","17","53",".987",""
"2012","Athletics","2050","1458","13230.0","4410","1568","111","61","48","322","136","103","136","54","99","45","12","40",".982",""
"2012","Mariners","2016","1458","13110.0","4370","1570","72","35","36","391","155","127","158","43","128","39","20","61",".988",""
"2012","Rays","2250","1458","13137.0","4379","1641","114","59","54","364","155","120","155","73","101","33","6","59",".981",""
"2012","Rangers","2092","1458","12978.0","4326","1496","85","49","36","323","137","103","137","56","106","27","13","53",".986",""
"2012","Blue Jays","2104","1458","12993.0","4331","1737","101","50","49","399","170","119","169","51","87","43","15","56",".984",""
"2012","Diamondbacks","2014","1458","12903.0","4301","1676","90","50","37","362","146","123","146","46","48","37","9","52",".985",""
"2012","Braves","2028","1458","13008.0","4336","1654","86","44","42","348","150","112","148","52","98","39","10","54",".986",""
"2012","Cubs","2167","1458","12723.0","4241","1583","105","59","45","337","150","108","149","33","125","36","9","44",".982",""
"2012","Reds","2039","1458","13077.0","4359","1602","89","46","43","288","114","92","115","39","78","43","7","34",".985",""
"2012","Rockies","2220","1458","12798.0","4266","1718","122","55","66","338","139","106","140","54","121","43","22","94",".980",""
"2012","Marlins","2093","1458","12966.0","4322","1648","103","58","42","386","155","128","154","34","88","28","14","36",".983",""
"2012","Astros","2246","1458","12810.0","4270","1729","118","62","55","306","134","93","134","47","131","37","13","75",".981",""
"2012","Dodgers","2219","1458","13047.0","4349","1669","98","49","49","319","140","99","140","53","92","43","11","46",".984",""
"2012","Brewers","2194","1458","13083.0","4361","1532","99","48","48","293","133","89","133","35","123","39","5","57",".983",""
"2012","Nationals","2204","1458","13215.0","4405","1632","94","46","47","343","134","108","135","45","111","22","15","62",".985",""
"2012","Mets","2218","1458","12906.0","4302","1502","101","52","44","330","136","105","135","38","97","30","32","40",".983",""
"2012","Phillies","2104","1458","13062.0","4354","1560","101","64","37","278","119","87","119","35","99","56","9","30",".983",""
"2012","Pirates","2175","1458","12900.0","4300","1656","112","58","53","311","126","94","126","44","154","19","9","45",".982",""
"2012","Cardinals","2233","1458","13164.0","4388","1754","107","62","44","370","149","110","150","37","56","43","9","46",".983",""
"2012","Padres","2226","1458","12912.0","4304","1655","121","57","62","216","97","71","98","43","152","47","18","49",".980",""
"2012","Giants","2241","1458","13059.0","4353","1638","115","66","49","307","134","96","135","39","129","53","5","54",".981",""
"2013","Angels","2128","1458","13119.0","4373","1500","112","68","42","328","135","99","136","59","131","35","7","74",".981",""
"2013","Orioles","2029","1458","13077.0","4359","1614","54","25","28","428","166","138","165","56","63","32","8","38",".991",""
"2013","Red Sox","2100","1458","13086.0","4362","1517","80","40","38","343","143","114","142","44","133","43","15","47",".987",""
"2013","White Sox","2122","1458","13095.0","4365","1555","121","70","49","361","156","110","156","55","102","35","21","62",".980",""
"2013","Indians","2151","1458","12972.0","4324","1503","98","50","45","338","137","112","137","47","84","31","10","71",".983",""
"2013","Tigers","2105","1458","13164.0","4388","1507","76","34","41","342","136","108","137","40","128","29","14","63",".987",""
"2013","Royals","2034","1458","13035.0","4345","1520","85","43","41","335","137","101","136","53","77","36","6","60",".986",""
"2013","Twins","2115","1458","13053.0","4351","1723","81","39","37","415","178","130","178","41","73","38","6","50",".987",""
"2013","Yankees","2065","1458","13026.0","4342","1544","69","34","33","325","143","107","140","43","72","30","16","57",".988",""
"2013","Athletics","2125","1458","13068.0","4356","1377","97","49","48","277","114","87","113","58","87","27","15","56",".983",""
"2013","Mariners","2064","1458","13185.0","4395","1646","88","49","39","368","150","119","149","40","89","30","11","74",".986",""
"2013","Rays","2241","1467","13176.0","4392","1593","59","25","33","329","148","105","148","63","119","33","10","69",".990",""
"2013","Rangers","2118","1467","13170.0","4390","1549","86","47","38","366","147","112","148","33","73","34","7","68",".986",""
"2013","Blue Jays","2135","1458","13068.0","4356","1605","111","52","59","365","145","120","145","65","87","29","30","54",".982",""
"2013","Diamondbacks","2135","1458","13455.0","4485","1733","75","41","34","338","137","107","137","76","48","22","10","84",".988",""
"2013","Braves","2138","1458","13053.0","4351","1680","85","47","36","326","143","105","142","60","79","32","6","50",".986",""
"2013","Cubs","2063","1458","13032.0","4344","1602","100","59","40","294","129","88","129","44","107","42","13","59",".983",""
"2013","Reds","2108","1458","13263.0","4421","1643","76","37","38","342","131","106","131","42","70","35","8","44",".988",""
"2013","Rockies","2114","1458","12924.0","4308","1855","90","44","45","388","163","117","162","62","89","33","13","62",".986",""
"2013","Marlins","2030","1458","13140.0","4380","1687","88","49","38","361","144","115","144","37","90","37","16","53",".986",""
"2013","Astros","2086","1458","12960.0","4320","1635","125","65","58","414","169","132","168","58","98","37","14","61",".979",""
"2013","Dodgers","2228","1458","13053.0","4351","1723","109","63","43","391","162","119","161","58","63","40","10","66",".982",""
"2013","Brewers","2129","1458","12984.0","4328","1627","114","62","52","351","155","110","155","62","99","30","10","51",".981",""
"2013","Nationals","2037","1458","13011.0","4337","1549","107","44","61","350","148","115","148","55","95","20","5","43",".982",""
"2013","Mets","2195","1458","13290.0","4430","1642","93","50","42","327","127","96","127","49","87","29","11","47",".985",""
"2013","Phillies","2108","1458","12927.0","4309","1614","97","54","42","339","141","105","141","55","114","35","5","48",".984",""
"2013","Pirates","2187","1458","13236.0","4412","1924","106","57","49","378","155","115","155","74","95","43","7","81",".984",""
"2013","Cardinals","2224","1458","13137.0","4379","1718","75","46","28","452","177","138","178","42","39","26","6","33",".988",""
"2013","Padres","2277","1458","13095.0","4365","1698","83","38","44","301","145","95","143","55","107","43","7","51",".986",""
"2013","Giants","2217","1458","13026.0","4342","1536","107","53","53","323","128","101","129","45","95","41","8","60",".982",""
"2014","Angels","2251","1458","13344.0","4448","1483","83","37","46","314","129","96","129","38","106","39","5","74",".986",""
"2014","Orioles","2123","1458","13152.0","4384","1603","87","42","45","368","160","116","160","51","84","32","9","42",".986",""
"2014","Red Sox","2119","1458","13191.0","4397","1610","92","45","44","366","156","120","155","36","87","33","18","51",".985",""
"2014","White Sox","2070","1458","12969.0","4323","1682","107","68","38","438","171","140","170","31","93","32","17","75",".982",""
"2014","Indians","2191","1458","13215.0","4405","1599","116","58","57","327","142","103","142","41","95","44","9","56",".981",""
"2014","Tigers","2157","1458","13086.0","4362","1539","101","56","44","361","154","109","154","26","111","51","8","43",".983",""
"2014","Royals","2089","1458","13056.0","4352","1512","104","47","55","301","122","90","122","45","69","29","6","58",".983",""
"2014","Twins","2095","1458","12915.0","4305","1579","97","47","49","342","136","112","136","27","100","22","8","50",".984",""
"2014","Yankees","2120","1458","13077.0","4359","1474","92","48","44","237","109","72","108","25","77","38","15","49",".984",""
"2014","Athletics","2167","1458","13170.0","4390","1634","111","55","56","382","152","130","152","42","100","28","10","59",".982",""
"2014","Mariners","2125","1458","13068.0","4356","1609","82","48","34","330","140","106","139","30","92","35","11","80",".986",""
