"Season","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG"
"2006","HOU","2393","5521","6326","1407","931","275","27","174","735","708","585","54","1076","73","46","100","122","79","36",".255"
"2006","TBD","2247","5474","6041","1395","905","267","33","190","689","650","441","23","1106","47","43","35","101","134","52",".255"
"2009","CHC","2343","5486","6244","1398","915","293","29","161","707","678","592","44","1185","59","42","65","134","56","34",".255"
"2014","SFG","2353","5523","6087","1407","976","257","42","132","665","636","427","37","1245","43","49","45","113","56","27",".255"
"2016","ATL","2390","5514","6192","1404","960","295","27","122","649","615","502","60","1240","59","52","64","145","75","34",".255"
"2013","CLE","2337","5465","6165","1391","907","290","23","171","745","711","562","19","1283","51","56","31","106","117","36",".255"
"2018","SEA","2373","5513","6087","1402","938","256","32","176","677","644","430","17","1221","70","41","29","128","79","37",".254"
"2017","ARI","2360","5525","6224","1405","832","314","39","220","812","776","578","44","1456","54","27","39","106","103","30",".254"
"2018","WSN","2441","5517","6288","1402","902","284","25","191","771","737","631","56","1289","59","40","41","104","119","33",".254"
"2013","OAK","2313","5521","6209","1403","891","301","25","186","767","725","573","29","1178","45","49","21","108","74","28",".254"
"2007","SFG","2371","5538","6213","1407","972","267","37","131","683","641","532","74","907","39","36","67","142","119","33",".254"
"2008","FLA","2361","5499","6206","1397","859","302","28","208","770","741","543","50","1371","69","46","49","98","76","28",".254"
"2018","CIN","2402","5532","6240","1404","956","251","25","172","696","665","559","35","1376","65","35","49","128","77","33",".254"
"2010","FLA","2300","5531","6194","1403","920","294","37","152","719","686","514","42","1375","55","43","51","108","92","26",".254"
"2014","MIN","2292","5567","6233","1412","941","316","27","128","715","675","544","29","1329","53","44","25","97","99","36",".254"
"2019","TBR","2459","5628","6285","1427","890","291","29","217","769","730","542","20","1493","73","34","8","114","94","37",".254"
"2018","PIT","2293","5447","6066","1381","896","290","38","157","692","665","474","38","1229","59","52","31","121","70","38",".254"
"2017","CIN","2321","5484","6213","1390","884","249","38","219","753","715","565","41","1329","72","42","50","116","120","39",".253"
"2014","WSN","2265","5542","6216","1403","959","265","27","152","686","635","517","29","1304","56","41","60","115","101","23",".253"
"2014","CLE","2391","5575","6222","1411","962","284","23","142","669","644","504","24","1189","42","49","51","126","104","27",".253"
"2009","ARI","2301","5565","6269","1408","883","307","45","173","720","686","571","47","1298","37","41","54","94","102","40",".253"
"2011","LAA","2187","5513","6088","1394","916","289","34","155","667","629","442","33","1086","51","32","50","126","135","52",".253"
"2015","STL","2406","5484","6139","1386","922","288","39","137","647","619","506","47","1267","66","42","39","128","69","38",".253"
"2014","STL","2324","5426","6086","1371","970","275","21","105","619","585","471","28","1133","86","39","64","140","57","32",".253"
"2014","MIA","2311","5538","6185","1399","987","254","36","122","645","614","501","49","1419","35","39","71","143","58","21",".253"
"2008","MIL","2227","5535","6252","1398","841","324","35","198","750","722","550","44","1203","69","43","54","97","108","38",".253"
"2014","CHW","2285","5543","6077","1400","934","279","32","155","660","625","417","33","1362","60","38","19","127","85","36",".253"
"2011","PHI","2203","5579","6279","1409","960","258","38","153","713","693","539","52","1024","56","38","65","108","96","24",".253"
"2013","TOR","2314","5537","6152","1398","916","273","24","185","712","669","510","19","1123","38","38","29","133","112","41",".252"
"2019","CHC","2429","5461","6195","1378","826","270","26","256","814","783","581","33","1460","83","39","30","127","45","24",".252"
"2016","NYY","2308","5458","6058","1377","929","245","20","183","680","647","475","19","1188","42","49","21","121","72","22",".252"
"2013","MIL","2335","5474","6064","1381","943","238","43","157","640","610","407","22","1183","71","35","77","116","142","50",".252"
"2018","MIL","2496","5542","6210","1398","904","252","24","218","754","711","537","32","1458","58","41","29","128","124","32",".252"
"2018","OAK","2403","5579","6255","1407","838","322","20","227","813","778","550","18","1381","76","44","6","136","35","21",".252"
"2015","TBR","2479","5485","6071","1383","906","278","32","167","644","612","436","22","1310","84","47","19","121","87","45",".252"
"2010","LAD","2310","5426","6140","1368","949","270","29","120","667","621","533","57","1184","46","50","85","123","92","50",".252"
"2011","CHW","2206","5502","6159","1387","965","252","16","154","654","625","475","31","989","84","46","52","125","81","53",".252"
"2019","ARI","2418","5633","6315","1419","871","288","40","220","813","778","540","36","1360","70","40","31","120","88","14",".252"
"2009","PIT","2195","5417","6058","1364","916","289","34","125","636","612","499","44","1142","46","36","60","124","90","32",".252"
"2012","LAD","2356","5438","6091","1369","961","269","23","116","637","607","481","49","1156","52","38","82","139","104","44",".252"
"2015","MIL","2377","5480","6024","1378","925","274","34","145","655","624","412","35","1299","41","34","55","130","84","29",".251"
"2012","CIN","2211","5477","6115","1377","879","296","30","172","669","636","481","54","1266","47","37","73","100","87","27",".251"
"2015","ATL","2340","5420","6034","1361","992","251","18","100","573","548","471","39","1107","44","31","67","148","69","33",".251"
"2015","WSN","2245","5428","6117","1363","908","265","13","177","703","665","539","38","1344","44","51","55","129","57","23",".251"
"2013","WSN","2241","5436","6047","1365","918","259","27","161","656","621","464","35","1192","40","39","68","115","88","28",".251"
"2015","NYY","2401","5567","6268","1397","894","272","19","212","764","737","554","23","1227","63","54","24","105","63","25",".251"
"2015","OAK","2349","5600","6171","1405","936","277","46","146","694","661","475","21","1119","40","38","14","124","78","29",".251"
"2007","SDP","2334","5612","6326","1408","884","322","31","171","741","704","557","45","1229","49","44","64","113","55","24",".251"
"2016","MIN","2290","5618","6245","1409","886","288","35","200","722","690","513","24","1426","44","43","27","96","91","32",".251"
"2012","CLE","2339","5525","6195","1385","959","266","24","136","667","635","555","28","1087","59","39","17","142","110","44",".251"
"2008","WSN","2397","5491","6192","1376","964","269","26","117","641","608","534","21","1095","67","36","64","153","81","43",".251"
"2008","ARI","2280","5409","6156","1355","831","318","47","159","720","683","587","49","1287","49","43","68","105","58","23",".251"
"2011","CLE","2287","5509","6142","1380","910","290","26","154","704","671","494","30","1269","65","43","31","111","89","42",".250"
"2011","ARI","2230","5421","6096","1357","855","293","37","172","731","702","531","55","1249","61","33","50","82","133","55",".250"
"2017","NYM","2396","5510","6169","1379","841","286","28","224","735","713","529","31","1291","57","37","36","118","58","23",".250"
"2018","LAD","2574","5572","6358","1394","830","296","33","235","804","756","647","47","1436","61","39","39","119","75","24",".250"
"2007","ARI","2305","5398","6101","1350","853","286","40","171","712","687","532","38","1111","57","58","55","121","109","24",".250"
"2010","WSN","2410","5418","6100","1355","925","250","31","149","655","634","503","36","1220","60","47","71","125","110","41",".250"
"2014","MIL","2327","5462","6065","1366","891","297","28","150","650","617","423","32","1197","73","37","70","137","102","43",".250"
"2015","LAD","2379","5385","6090","1346","870","263","26","187","667","638","563","31","1258","60","30","49","135","59","34",".250"
"2015","BAL","2249","5485","6007","1370","887","246","20","217","713","686","418","23","1331","51","32","20","127","44","25",".250"
"2017","PHI","2308","5535","6133","1382","885","287","36","174","690","654","494","25","1417","47","36","21","128","59","25",".250"
"2015","HOU","2333","5459","6073","1363","829","278","26","230","729","691","486","22","1392","56","43","28","102","121","48",".250"
"2008","SDP","2343","5568","6244","1390","945","264","27","154","637","615","518","35","1259","53","46","59","129","36","17",".250"
"2015","CHW","2265","5533","6070","1381","958","260","27","136","622","595","404","22","1231","65","37","30","125","68","42",".250"
"2010","ARI","2271","5473","6183","1366","851","301","34","180","713","691","589","45","1529","39","41","41","115","86","41",".250"
"2019","CLE","2321","5425","6124","1354","827","286","18","223","769","731","563","30","1332","50","46","40","110","103","35",".250"
"2018","MIN","2351","5526","6154","1379","874","317","22","166","738","704","534","25","1328","37","38","19","89","47","27",".250"
"2017","MIL","2423","5467","6135","1363","850","267","22","224","732","695","547","34","1571","53","26","42","116","128","41",".249"
"2016","LAD","2491","5518","6164","1375","893","272","21","189","725","680","525","31","1321","58","32","30","120","45","26",".249"
"2018","NYY","2269","5515","6271","1374","815","269","23","267","851","821","625","21","1421","62","59","10","107","63","21",".249"
"2013","CIN","2286","5499","6293","1370","921","274","20","155","698","664","585","65","1245","76","46","85","129","67","35",".249"
"2017","LAD","2464","5408","6191","1347","794","312","20","221","770","730","649","41","1380","64","38","31","119","77","28",".249"
"2010","NYM","2348","5465","6144","1361","927","266","40","128","656","625","502","53","1095","46","57","74","101","130","44",".249"
"2018","STL","2464","5498","6200","1369","907","248","9","205","759","725","525","40","1380","80","48","46","92","63","32",".249"
"2012","NYM","2420","5450","6091","1357","911","286","21","139","650","625","503","43","1250","42","30","64","118","79","38",".249"
"2013","CHW","2279","5563","6077","1385","981","237","19","148","598","574","411","23","1207","34","48","19","124","105","42",".249"
"2011","TOR","2265","5559","6210","1384","879","285","34","186","743","704","525","41","1184","48","47","31","108","131","52",".249"
"2017","SFG","2372","5551","6137","1382","936","290","28","128","639","612","467","37","1204","36","52","31","136","76","34",".249"
"2019","OAK","2363","5561","6269","1384","812","292","23","257","845","800","578","17","1338","87","36","7","140","49","21",".249"
"2013","ATL","2293","5441","6133","1354","905","247","21","181","688","656","542","36","1384","55","35","58","120","64","31",".249"
"2015","SEA","2407","5544","6131","1379","897","262","22","198","656","624","478","31","1336","36","35","38","123","69","45",".249"
"2015","PHI","2321","5529","6053","1374","935","272","37","130","626","586","387","20","1274","54","29","53","119","88","32",".249"
"2014","ARI","2274","5552","6089","1379","955","259","47","118","615","573","398","31","1165","43","36","56","115","86","33",".248"
"2010","LAA","2236","5488","6089","1363","913","276","19","155","681","656","466","28","1070","52","37","42","125","104","52",".248"
"2013","PHI","2310","5456","6014","1355","928","255","32","140","610","578","417","41","1205","53","31","57","132","73","29",".248"
"2010","TOR","2206","5495","6072","1364","767","319","21","257","755","732","471","25","1164","55","34","16","114","58","20",".248"
"2010","CLE","2255","5487","6165","1362","924","290","20","128","646","601","545","34","1184","64","33","36","118","91","33",".248"
"2015","CIN","2337","5571","6196","1382","931","257","27","167","640","613","496","38","1255","42","40","47","112","134","38",".248"
"2019","TEX","2273","5540","6204","1374","831","296","24","223","810","765","534","18","1578","67","44","17","98","131","38",".248"
