,season,team,pa,hit_hr,runs_scored,rbi,hit_bb_rate,hit_k_rate,iso,bat_avg,obp,slg,woba,wrc_plus,hit_fwar,hit_hits,ops,wins,losses,saves,games,ip,era,fip,pitch_fwar,pitch_hits,runs_allowed,er,pitch_hr,pitch_bb,pitch_so,pitch_k_rate,pitch_bb_rate,whip,fp,drs,uzr,win_pct,run_diff
29,2006,WSN,6283,164,746,695,0.095,0.184,0.156,0.262,0.33799999999999997,0.418,0.327,96,19.5,1437,0.7559999999999999,71,91,32,162,1436.1,5.03,4.97,4.6,1535,872,803,193,584,960,0.149,0.091,1.48,0.978,-50,-15.1,0.4382716049382716,-126
30,2007,ARI,6101,171,712,687,0.087,0.182,0.163,0.25,0.321,0.413,0.32,82,10.0,1350,0.7340000000000001,90,72,51,162,1441.0,4.13,4.52,16.0,1446,732,662,169,546,1088,0.175,0.08800000000000001,1.38,0.983,36,-3.2,0.5555555555555556,-20
31,2007,ATL,6374,176,810,781,0.084,0.18,0.16,0.275,0.33899999999999997,0.435,0.337,99,27.2,1562,0.774,84,78,36,162,1456.1,4.11,4.45,13.1,1442,733,665,172,537,1106,0.177,0.086,1.36,0.983,59,45.5,0.5185185185185185,77
32,2007,BAL,6264,142,756,718,0.08,0.15,0.141,0.272,0.33299999999999996,0.41200000000000003,0.327,95,15.1,1529,0.746,69,93,30,162,1438.2,5.19,4.78,11.0,1491,868,829,161,696,1087,0.16899999999999998,0.10800000000000001,1.52,0.987,-12,1.7,0.42592592592592593,-112
33,2007,BOS,6426,166,867,829,0.107,0.162,0.165,0.27899999999999997,0.36200000000000004,0.444,0.35200000000000004,109,29.7,1561,0.8059999999999999,96,66,45,162,1438.2,3.87,4.14,18.4,1350,657,618,151,482,1149,0.18899999999999997,0.079,1.27,0.986,2,29.1,0.5925925925925926,210
34,2007,CHC,6268,151,752,711,0.08,0.168,0.15,0.271,0.33299999999999996,0.42200000000000004,0.32899999999999996,90,21.1,1530,0.754,85,77,39,162,1446.2,4.04,4.36,17.7,1340,690,650,165,573,1211,0.196,0.09300000000000001,1.32,0.9840000000000001,16,67.1,0.5246913580246914,62
35,2007,CHW,6103,190,693,667,0.087,0.188,0.158,0.24600000000000002,0.318,0.40399999999999997,0.316,86,2.9,1341,0.722,72,90,42,162,1440.2,4.77,4.56,17.2,1556,839,764,174,499,1015,0.161,0.079,1.43,0.982,-63,-38.8,0.4444444444444444,-146
36,2007,CIN,6332,204,783,747,0.085,0.17600000000000002,0.17,0.267,0.335,0.436,0.335,94,15.5,1496,0.772,72,90,34,162,1449.2,4.95,4.69,15.0,1605,853,798,198,482,1068,0.168,0.076,1.44,0.9840000000000001,-59,-30.9,0.4444444444444444,-70
37,2007,CLE,6367,178,811,784,0.09300000000000001,0.18899999999999997,0.159,0.268,0.34299999999999997,0.428,0.336,104,21.7,1504,0.7709999999999999,96,66,49,162,1462.2,4.05,4.06,20.5,1519,704,659,146,410,1047,0.16899999999999998,0.066,1.32,0.985,6,-18.3,0.5925925925925926,107
38,2007,COL,6498,171,860,823,0.096,0.177,0.158,0.28,0.354,0.43700000000000006,0.34600000000000003,97,23.1,1591,0.7909999999999999,90,73,39,163,1472.0,4.32,4.52,16.5,1497,758,706,164,504,967,0.154,0.08,1.36,0.9890000000000001,34,2.9,0.5521472392638037,102
