"Season","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"2011","MIL","6113","7.9%","17.7%","0.44",".261",".325",".425",".750",".164","4.6",".293","-0.5","-0.6","1.4","736","49.2",".327","103"
"2014","LAD","6231","8.3%","20.0%","0.42",".265",".333",".406",".738",".140","5.1",".318","-3.9","0.6","2.9","745","75.8",".327","112"
"2016","TOR","6233","10.1%","21.9%","0.46",".248",".330",".426",".755",".178","3.7",".289","1.6","-8.2","-2.4","778","43.4",".327","104"
"2018","HOU","6146","9.2%","19.5%","0.47",".255",".329",".425",".754",".170","4.2",".289","1.2","-8.2","0.0","778","59.7",".327","110"
"2010","PHI","6291","8.9%","16.9%","0.53",".260",".332",".413",".745",".153","4.9",".292","1.2","3.6","8.5","747","24.3",".327","99"
"2016","CLE","6155","8.6%","20.2%","0.43",".262",".329",".430",".759",".168","5.1",".304","9.3","-4.3","10.8","767","41.7",".326","100"
"2010","TBR","6270","10.7%","20.6%","0.52",".247",".333",".403",".736",".156","5.6",".293","17.2","9.7","10.7","745","24.8",".326","106"
"2006","ARI","6330","8.0%","15.2%","0.52",".267",".331",".424",".755",".157","4.6",".294","-3.9","-2.6","-0.1","758","-36.5",".326","87"
"2007","STL","6211","8.1%","14.6%","0.56",".274",".337",".405",".743",".132","3.4",".303","1.4","-5.9","-8.2","737","-30.7",".326","94"
"2009","CHW","6132","8.7%","16.7%","0.52",".258",".329",".411",".740",".153","4.3",".285","-7.6","-3.5","-1.9","719","-15.7",".326","91"
"2007","TOR","6197","8.6%","16.8%","0.51",".259",".327",".419",".746",".160","3.9",".290","-8.9","0.4","-2.8","738","-28.6",".326","95"
"2007","LAD","6282","8.1%","13.8%","0.59",".275",".337",".406",".743",".131","4.8",".303","10.0","7.8","0.5","745","-32.3",".326","94"
"2017","STL","6219","9.5%","21.7%","0.44",".256",".334",".426",".760",".170","4.4",".304","2.5","0.3","-0.8","779","20.8",".326","101"
"2016","BAL","6089","7.7%","21.7%","0.35",".256",".317",".443",".760",".188","2.5",".291","6.0","1.1","-4.6","755","37.3",".326","103"
"2018","WSN","6288","10.0%","20.5%","0.49",".254",".335",".419",".753",".164","4.8",".297","-2.6","4.4","6.6","786","51.5",".325","101"
"2016","SEA","6227","8.1%","20.7%","0.39",".259",".326",".430",".756",".171","3.7",".297","-7.4","-2.5","-3.6","770","36.0",".325","108"
